key,es,en,de,pt,fr,it
languageEmoji,🇦🇷,🇬🇧,🇩🇪,🇧🇷,🇫🇷,🇮🇹
language,Español,English,Deutsch,Português,Français,Italiano
BinarioNoEncontradoException,Objeto no encontrado: {0},Object not found: {0},Objekt nicht gefunden: {0},Objeto não encontrado: {0},Objet introuvable : {0},Oggetto non trovato: {0}
CheckpointTooBigException,"No se puede guardar el checkpoint. El tamaño del checkpoint seria de {0}, mientras que el maximo especificado es de {1}","The checkpoint cannot be saved. The checkpoint size would be {0}, while the maximum specified is {1}.","Der Prüfpunkt konnte nicht gespeichert werden. Die Prüfpunktgröße wäre {0}, während der maximal angegebene Wert {1} beträgt.","O ponto de verificação não pode ser salvo. O tamanho do ponto de verificação seria {0}, enquanto o máximo especificado é {1}.","Le point de contrôle ne peut pas être enregistré. Sa taille serait de {0}, alors que la valeur maximale spécifiée est de {1}.","Impossibile salvare il checkpoint. La dimensione del checkpoint sarebbe {0}, mentre la dimensione massima specificata è {1}."
CouldNotDeleteException,No se pudo borrar {0},Could not delete {0},{0} konnte nicht gelöscht werden,Não foi possível excluir {0},Impossible de supprimer {0},Impossibile eliminare {0}
NameTooLong,El nombre es demasiado largo (máx. 255 caracteres).,The name is too long (max. 255 characters).,Der Name ist zu lang (max. 255 Zeichen).,O nome é muito longo (máximo de 255 caracteres).,Le nom est trop long (max. 255 caractères).,Il nome è troppo lungo (max. 255 caratteri).
DescTooLong,La descripcion ingresada es demasiado larga,The description entered is too long,Die eingegebene Beschreibung ist zu lang,A descrição inserida é muito longa.,La description saisie est trop longue.,La descrizione inserita è troppo lunga
TextTooLong,El texto ingresado es demasiado largo.,The text entered is too long.,Der eingegebene Text ist zu lang.,O texto inserido é muito longo.,Le texte saisi est trop long.,Il testo inserito è troppo lungo.
OperationTooLong,La operación tardó demasiado. Intenta nuevamente,The operation took too long. Please try again.,Der Vorgang hat zu lange gedauert. Bitte versuchen Sie es erneut.,"A operação demorou muito tempo. Por favor, tente novamente.",L'opération a pris trop de temps. Veuillez réessayer.,L'operazione ha richiesto troppo tempo. Riprova.
NoDBConnection,No se pudo conectar a la base de datos,Could not connect to the database,Es konnte keine Verbindung zur Datenbank hergestellt werden.,Não foi possível conectar ao banco de dados.,Impossible de se connecter à la base de données,Impossibile connettersi al database
DBUnknownError,Ocurrió un error al acceder a la base de datos,An error occurred while accessing the database,Beim Zugriff auf die Datenbank ist ein Fehler aufgetreten.,Ocorreu um erro ao acessar o banco de dados.,Une erreur s'est produite lors de l'accès à la base de données.,Si è verificato un errore durante l'accesso al database
UnknownError,Ocurrió un error inesperado: {0},An unexpected error occurred: {0},Es ist ein unerwarteter Fehler aufgetreten: {0},Ocorreu um erro inesperado: {0},Une erreur inattendue s'est produite : {0},Si è verificato un errore imprevisto: {0}
MenuInicio,Menu principal,Main Menu,Hauptmenü,Menu principal,Menu principal,Menu principale
MenuCargarJuego,📂  Cargar Juego,📂 Load Game,📂 Spiel laden,📂 Carregar Jogo,📂 Charger le jeu,📂 Carica gioco
MenuElegirJuego,🎮  Elegir Juego,🎮 Choose Game,🎮 Wähle ein Spiel,🎮 Escolha o jogo,🎮 Choisissez un jeu,🎮 Scegli il gioco
MenuOpciones,⚙ Opciones,⚙ Options,⚙ Optionen,⚙ Opções,⚙ Options,⚙ Opzioni
NombreJuego,Nombre del juego,Game Name,Spielname,Nome do jogo,Nom du jeu,Nome del gioco
TituloJuego,TItulo del juego,Game Title,Spieltitel,Título do jogo,Titre du jeu,Titolo del gioco
SaveFilePaths,Directorios de guardado,Save directories,Verzeichnisse speichern,Salvar diretórios,Répertoires de sauvegarde,Salva le directory
IngresePath,Ingrese un directorio,Enter a directory,Geben Sie ein Verzeichnis ein,Digite um diretório,Saisissez un répertoire,Inserisci una directory
Agregar,Agregar,Add,Hinzufügen,Adicionar,Ajouter,Aggiungere
ElegirCarpeta,Elegir carpeta,Choose folder,Ordner auswählen,Selecione a pasta,Choisir un dossier,Scegli cartella
ElegirArchivo,Elegir archivo,Choose file,Datei auswählen,Selecione o arquivo,Choisir un fichier,Scegli file
SeleccionarCarpeta,Seleccionar carpeta de guardado,Select save folder,Speicherordner auswählen,Selecione a pasta onde quer que você vá.,Sélectionnez le dossier de sauvegarde,Seleziona la cartella di salvataggio
SeleccionarArchivo,Seleccionar archivo de guardado,Select save file,Datei speichern,Selecione Salvar arquivo,Sélectionnez le fichier de sauvegarde,Seleziona salva file
Confirmar,Confirmar,Confirm,Bestätigen,Confirmar,Confirmer,Confermare
ConfirmarTItuloDefault,Esta seguro que desea guardar el juego con el titulo {0}?,Are you sure you want to save the game with the title {0}?,Möchtest du das Spiel wirklich unter dem Titel {0} speichern?,Tem certeza de que deseja salvar o jogo com o título {0}?,Êtes-vous sûr de vouloir enregistrer la partie sous le titre {0} ?,Sei sicuro di voler salvare il gioco con il titolo {0}?
ConfirmarSinDirectorios,Esta seguro que desea guardar un juego sin directorios de guardado?,Are you sure you want to save a game without save directories?,Möchtest du wirklich ein Spiel ohne Speicherverzeichnisse speichern?,Tem certeza de que deseja salvar um jogo sem diretórios de salvamento?,Êtes-vous sûr de vouloir sauvegarder une partie sans répertoire de sauvegarde ?,Sei sicuro di voler salvare una partita senza directory di salvataggio?
Cancelar,Cancelar,Cancel,Stornieren,Cancelar,Annuler,Cancellare
CargarJuego,Cargar Juego,Load Game,Spiel laden,Carregar jogo,Charger le jeu,Carica gioco
ElegirJuego,Elegir Juego,Choose Game,Spiel auswählen,Escolha o jogo,Choisir un jeu,Scegli il gioco
EliminarJuego,Eliminar Juego,Delete Game,Spiel löschen,Excluir jogo,Supprimer le jeu,Elimina gioco
SeleccionarJuegoPrimero,"""Seleccione un juego primero""","""Select a game first""","""Wähle zuerst ein Spiel aus""","""Primeiro, selecione um jogo""",« Choisissez d'abord un jeu »,"""Seleziona prima un gioco"""
ConfirmarBorrarJuego,Esta seguro que desea eliminar {0} ?,Are you sure you want to delete {0}?,Möchten Sie {0} wirklich löschen?,Tem certeza de que deseja excluir {0}?,Êtes-vous sûr de vouloir supprimer {0} ?,Sei sicuro di voler eliminare {0}?
Aceptar,Aceptar,Accept,Akzeptieren,Aceitar,Accepter,Accettare
EscribirParaConfirmar,"Escriba ""{0}"" para confirmar","Type ""{0}"" to confirm","Geben Sie ""{0}"" ein, um zu bestätigen","Digite ""{0}"" para confirmar",Tapez « {0} » pour confirmer,"Digita ""{0}"" per confermare"
DirectorioInvalido,Directorio invalido,Invalid directory,Ungültiges Verzeichnis,Diretório inválido,Répertoire invalide,Directory non valida
JuegoBorradoConExito,"Se borro el juego ""{0}""","The game ""{0}"" was deleted","Das Spiel ""{0}"" wurde gelöscht","O jogo ""{0}"" foi excluído",Le jeu « {0} » a été supprimé.,"Il gioco ""{0}"" è stato eliminato"
EditarJuego,Editar juego,Edit game,Spiel bearbeiten,Editar jogo,Modifier le jeu,Modifica gioco
VolverAlInicio,Volver al Inicio,Back to Home,Zurück zur Startseite,Voltar para a página inicial,Retour à l'accueil,Torna alla Home
SeleccionarJuegoRegistrado,Seleccione un juego ya registrado,Select a game that's already registered,Wählen Sie ein bereits registriertes Spiel aus.,Selecione um jogo que já esteja registrado.,Sélectionnez un jeu déjà enregistré,Seleziona un gioco già registrato
EditarJuegoAclaraNombre,Editar juego: {0},Edit game: {0},Spiel bearbeiten: {0},Editar jogo: {0},Modifier le jeu : {0},Modifica gioco: {0}
EditarDirectorio,Editar directorio,Edit directory,Verzeichnis bearbeiten,Editar diretório,Modifier le répertoire,Modifica directory
IngresarElNuevoDirectorio,Ingrese el nuevo directorio,Enter the new directory,Wechseln Sie in das neue Verzeichnis,Acesse o novo diretório,Entrez dans le nouveau répertoire,Entra nella nuova directory
IngresarUnDirectorio,Ingrese un directorio,Enter a directory,Geben Sie ein Verzeichnis ein,Digite um diretório,Saisissez un répertoire,Inserisci una directory
BorrarDirectoriosAdvertencia,"Esta seguro? Si elimina directorios, tambien se eliminaran los archivos guardados en los mismos dentro de cada checkpoint.","Are you sure? If you delete directories, the files stored within them at each checkpoint will also be deleted.","Sind Sie sicher? Wenn Sie Verzeichnisse löschen, werden auch die darin gespeicherten Dateien bei jedem Prüfpunkt gelöscht.","Tem certeza? Se você excluir diretórios, os arquivos armazenados neles em cada ponto de verificação também serão excluídos.","Êtes-vous sûr ? Si vous supprimez des répertoires, les fichiers qu’ils contiennent à chaque point de contrôle seront également supprimés.","Sei sicuro? Se elimini delle directory, verranno eliminati anche i file in esse contenuti a ogni checkpoint."
GestionarJuego,Gestionar juego,Manage game,Spiel verwalten,Gerenciar jogo,Gérer le jeu,Gestisci il gioco
IntentoAccederADirectorioProhibido,Se intento acceder a un directorio no permitido: {0},An attempt was made to access an unauthorized directory: {0},"Es wurde versucht, auf ein nicht autorisiertes Verzeichnis zuzugreifen: {0}",Foi feita uma tentativa de acesso a um diretório não autorizado: {0},Une tentative d'accès à un répertoire non autorisé a été effectuée : {0},È stato effettuato un tentativo di accesso a una directory non autorizzata: {0}
ErrorGuardandoConfiguracionDeDirectorios,Error guardando configuración de directorios: {0},Error saving directory configuration: {0},Fehler beim Speichern der Verzeichniskonfiguration: {0},Erro ao salvar a configuração do diretório: {0},Erreur lors de l'enregistrement de la configuration du répertoire : {0},Errore durante il salvataggio della configurazione della directory: {0}
SinTitulo,Sin titulo,Untitled,Ohne Titel,Sem título,Sans titre,Senza titolo
Juego,Juego,Game,Spiel,Jogo,Jeu,Gioco
CrearPartida,Crear una nueva partida,Create a new playthrough,Erstelle ein neues Spiel,Criar um novo jogo,Créer un nouveau jeu,Crea un nuovo gioco
IngresarNombrePartida,Ingrese el nombre de la partida,Enter the playthrough name,Gib den Spielnamen ein,Digite o nome do jogo,Saisissez le nom du jeu,Inserisci il nome del gioco
EliminarPartida,Eliminar Partida,Delete playthrough,Spiel löschen,Excluir jogo,Supprimer le jeu,Elimina gioco
NoHayPartidaSeleccionada,No hay ninguna partida seleccionada,No playthrough selected,Kein Spiel ausgewählt,Nenhum jogo selecionado,Aucun jeu sélectionné,Nessun gioco selezionato
ConfirmarBorrarPartida,"Esta seguro que desea eliminar la partida ""{0}""?","Are you sure you want to delete the playthrough ""{0}""?","Möchten Sie den Eintrag ""{0}"" wirklich löschen?","Tem certeza de que deseja excluir a entrada ""{0}""?",Êtes-vous sûr de vouloir supprimer l'entrée « {0} » ?,"Sei sicuro di voler eliminare la voce ""{0}""?"
PartidaBorradaConExito,Se borro la partida {0} - {1},The playthrough {0} - {1} was deleted,Das Spiel {0} - {1} wurde gelöscht,O jogo {0} - {1} foi apagado,Le jeu {0} - {1} a été supprimé.,Il gioco {0} - {1} è stato eliminato
CambiarNombre,Cambiar Nombre,Change Name,Namensänderung,Alterar nome,Changer de nom,Cambia nome
SeleccionarPartidaCreada,Seleccione una partida ya creada,Select an existing playthrough,Wählen Sie ein vorhandenes Spiel aus,Selecione um jogo existente,Sélectionnez un jeu existant,Seleziona un gioco esistente
Partida,Partida,Playthrough,Abfahrt,Partida,Départ,Partenza
ElegirNuevoNombrePartida,Elija el nuevo nombre para la partida,Choose a new name for the playthrough,Wähle einen neuen Namen für das Spiel.,Escolha um novo nome para o jogo.,Choisissez un nouveau nom pour le jeu,Scegli un nuovo nome per il gioco
GestionarPartida,Gestionar partida,Manage playthrough,Spiel verwalten,Gerenciar jogo,Gérer le jeu,Gestisci il gioco
GuardarCheckpoint,Guardar checkpoint,Save checkpoint,Speicherpunkt,Salvar ponto de verificação,Sauvegarder le point de contrôle,Salva il checkpoint
CargarUltimoCheckpoint,Cargar último checkpoint,Load last checkpoint,Letzten Prüfpunkt laden,Carregar último ponto de verificação,Charger le dernier point de contrôle,Carica l'ultimo checkpoint
CargarSeleccionado,Cargar seleccionado,Load selected,Ausgewählte Ladung,Carregar selecionado,Charger la sélection,Carica selezionato
EliminarSeleccionado,Eliminar seleccionado,Delete selected,Ausgewählte löschen,Excluir selecionados,Supprimer la sélection,Elimina selezionato
ExportarSeleccionado,Exportar seleccionado,Export selected,Exportieren ausgewählt,Exportar selecionado,Exporter la sélection,Esporta selezionato
ModificarRotacion,Modificar algoritmo de rotación,Modify rotation algorithm,Rotationsalgorithmus modifizieren,Modificar algoritmo de rotação,Modifier l'algorithme de rotation,Modifica l'algoritmo di rotazione
ConfirmarGuardarOtraPartidaCargada,"Actualmente hay otra partida cargada ( {0} ) . Esta seguro que desea guardar aqui?""",There is currently another playthrough loaded ( {0} ). Are you sure you want to save here?,Es ist bereits ein anderes Spiel geladen ( {0} ). Möchten Sie hier wirklich speichern?,Há outro jogo carregado ( {0} ). Tem certeza de que deseja salvar aqui?,Une autre partie est déjà chargée ( {0} ). Êtes-vous sûr de vouloir sauvegarder ici ?,Al momento è caricato un altro gioco ({0}). Vuoi davvero salvare qui?
IngresarDatosCheckpoint,Ingrese los datos del checkpoint,Enter the checkpoint details,Geben Sie die Checkpoint-Details ein.,Insira os detalhes do ponto de controle,Saisissez les détails du point de contrôle,Inserisci i dettagli del checkpoint
NombreOpcional,Nombre (opcional),Name (optional),Name (optional),Nome (opcional),Nom (facultatif),Nome (facoltativo)
DescripcionOpcional,Descripción (opcional),Description (optional),Beschreibung (optional),Descrição (opcional),Description (facultatif),Descrizione (facoltativa)
ConfirmarCargarCheckpoint,Esta seguro que desea cargar este checkpoint ( {0} )?,Are you sure you want to load this checkpoint ( {0} )?,Möchten Sie diesen Prüfpunkt ( {0} ) laden?,Tem certeza de que deseja carregar este ponto de verificação ( {0} )?,Êtes-vous sûr de vouloir charger ce point de contrôle ( {0} ) ?,Sei sicuro di voler caricare questo checkpoint ( {0} )?
GuardarPartidaAntesDeCargar,Actualmente hay otra partida cargada en el sistema ( {0} ). Quiere guardar su progreso allí antes de cargar esta?,There is currently another playthrough loaded in the system ({0}). Do you want to save your process there before loading this one?,"Es ist bereits ein anderes Spiel im System geladen ({0}). Möchten Sie Ihren Fortschritt dort speichern, bevor Sie dieses Spiel laden?",Há outro jogo carregado no sistema ({0}). Deseja salvar seu progresso antes de carregar este?,Un autre jeu est actuellement chargé dans le système ({0}). Voulez-vous sauvegarder votre progression avant de charger celui-ci ?,Al momento è caricato un altro gioco nel sistema ({0}). Vuoi salvare i tuoi progressi lì prima di caricare questo?
ExportarCheckpoint,Exportar checkpoint,Export checkpoint,Export-Checkpoint,Ponto de controle de exportação,Point de contrôle d'exportation,Punto di controllo dell'esportazione
ConfirmarBorrarCheckpoint,¿Desea eliminar este checkpoint?,Do you want to delete this checkpoint?,Möchten Sie diesen Prüfpunkt löschen?,Deseja excluir este ponto de verificação?,Voulez-vous supprimer ce point de contrôle ?,Vuoi eliminare questo checkpoint?
ConfiguracionDeCheckpoints,Configuración de Checkpoints,Checkpoint Configuration,Checkpoint-Konfiguration,Configuração do ponto de verificação,Configuration du point de contrôle,Configurazione del checkpoint
LimiteDeCheckpoints,LÍMITE DE CHECKPOINTS:,CHECKPOINT LIMIT:,CHECKPOINT-LIMIT:,LIMITE DE PONTO DE VERIFICAÇÃO:,LIMITE DU POINT DE CONTRÔLE :,LIMITE DEL CONTROLLO:
CheckpoiintsRecientesSeguros,CHECKPOINTS RECIENTES (SEGUROS):,RECENT CHECKPOINTS (INSURANCE):,Aktuelle Prüfpunkte (Versicherung):,PONTOS DE VERIFICAÇÃO RECENTES (SEGURO):,POINTS DE CONTRÔLE RÉCENTS (ASSURANCE) :,CONTROLLI RECENTI (ASSICURAZIONE):
CapacidadMaximaTotal,CANTIDAD MÁXIMA TOTAL DE CHECKPOINTS:,MAXIMUM TOTAL NUMBER OF CHECKPOINTS:,MAXIMALE GESAMTANZAHL DER CHECKPOINTS:,NÚMERO MÁXIMO TOTAL DE PONTOS DE VERIFICAÇÃO:,NOMBRE TOTAL MAXIMUM DE POINTS DE CONTRÔLE :,NUMERO MASSIMO TOTALE DI CONTROLLI:
EstrategiaDeRotacion,ESTRATEGIA DE ROTACIÓN,ROTATION STRATEGY,Rotationsstrategie,ESTRATÉGIA DE ROTAÇÃO,STRATÉGIE DE ROTATION,STRATEGIA DI ROTAZIONE
ConfirmarEstrategiaRotacion,Esta seguro que quiere guardar esta estrategia de rotacion?,Are you sure you want to keep this rotation strategy?,"Sind Sie sicher, dass Sie diese Rotationsstrategie beibehalten möchten?",Tem certeza de que deseja manter essa estratégia de rotação?,Êtes-vous sûr de vouloir conserver cette stratégie de rotation ?,Sei sicuro di voler mantenere questa strategia di rotazione?
ConfiguracionTitulo,Configuración: Que directorios puede modificar el programa?,Configuration: Which directories can the program modify?,Konfiguration: Welche Verzeichnisse kann das Programm ändern?,Configuração: Quais diretórios o programa pode modificar?,Configuration : Quels répertoires le programme peut-il modifier ?,Configurazione: quali directory può modificare il programma?
Whitelist,Whitelist,Whitelist,Whitelist,Lista de permissões,Liste blanche,Lista bianca
BlackList,BlackList,Blacklist,Schwarze Liste,Lista negra,Liste noire,Lista nera
WhitelistOverridesBlacklistTrueText,(Se permite modificar directorios que estén en ambas listas),(Modifying directories that are on both lists is permitted),"(Das Ändern von Verzeichnissen, die in beiden Listen enthalten sind, ist zulässig.)",(É permitido modificar diretórios que estejam em ambas as listas),(La modification des répertoires figurant sur les deux listes est autorisée),(È consentita la modifica delle directory presenti in entrambi gli elenchi)
WhitelistOverridesBlacklistFalseText,(No se permite modificar directorios que estén en ambas listas),(Modifying directories that are on both lists is not allowed),"(Das Ändern von Verzeichnissen, die in beiden Listen enthalten sind, ist nicht erlaubt.)",(Não é permitido modificar diretórios que estejam em ambas as listas),(Il est interdit de modifier les répertoires qui figurent sur les deux listes.),(Non è consentito modificare le directory presenti in entrambi gli elenchi)
OverrideCheckbox,Whitelist toma prioridad sobre blacklist,Whitelist takes priority over blacklist,Die Whitelist hat Vorrang vor der Blacklist.,A lista branca tem prioridade sobre a lista negra.,La liste blanche prime sur la liste noire.,La whitelist ha la priorità sulla blacklist
DeleteFilesCheckbox,Tamaño maximo de checkpoint,Maximum checkpoint size,Maximale Checkpoint-Größe,Tamanho máximo do ponto de verificação,Taille maximale du point de contrôle,Dimensione massima del checkpoint
TamañoMaximoDeCheckpoint,Tamaño maximo de checkpoint,Maximum checkpoint size,Maximale Checkpoint-Größe,Tamanho máximo do ponto de verificação,Taille maximale du point de contrôle,Dimensione massima del checkpoint
DeleteFilesNotInCheckpointTrueText,(Los archivos del directorio de guardado que no esten en el checkpoint seran eliminados),(Files in the save directory that are not at the checkpoint will be deleted),"(Dateien im Speicherverzeichnis, die sich nicht im Prüfpunkt befinden, werden gelöscht)",(Os arquivos no diretório de salvamento que não estiverem no ponto de verificação serão excluídos),(Les fichiers du répertoire de sauvegarde qui ne correspondent pas au point de contrôle seront supprimés.),(I file nella directory di salvataggio che non si trovano al checkpoint verranno eliminati)
DeleteFilesNotInCheckpointFalseText,(No se eliminarán archivos al cargar el checkpoint),(Files will not be deleted when loading the checkpoint),(Die Dateien werden beim Laden des Prüfpunkts nicht gelöscht.),(Os arquivos não serão excluídos ao carregar o ponto de verificação),(Les fichiers ne seront pas supprimés lors du chargement du point de contrôle),(I file non verranno eliminati durante il caricamento del checkpoint)
Configuracion,Configuracion,Configuration,Konfiguration,Configuração,Configuration,Configurazione
ErrorGuardandoConfiguracionDeLenguaje,No se pudo guardar la configuracion de lenguaje: {0},The language settings could not be saved: {0},Die Spracheinstellungen konnten nicht gespeichert werden: {0},Não foi possível salvar as configurações de idioma: {0},Les paramètres de langue n'ont pas pu être enregistrés : {0},Impossibile salvare le impostazioni della lingua: {0}